impact electrofuels import (2035),impact electrofuels import (2040),impact electrofuels import (2045),impact electrofuels import (2050),geo_tension_biofuels_2035,geo_tension_biofuels_2040,geo_tension_biofuels_2045,geo_tension_biofuels_2050,impact electricity import (2035),impact electricity import (2040),impact electricity import (2045),impact electricity import (2050),nuclear SMR not available,Direct Air Capture Technology not available,CCS not available,geothermal energy not available,ammonia-fired CCGT not available, Ammonia Cracking Technology,availability of Photovoltaic Solar Power (2035),availability of Photovoltaic Solar Power (2040),availability of Photovoltaic Solar Power (2045),availability of Photovoltaic Solar Power (2050),availability of Onshore Wind Power (2035),availability of Onshore Wind Power (2040),availability of Onshore Wind Power (2045),availability of Onshore Wind Power (2050),availability of Offshore Wind Power (2035),availability of Offshore Wind Power (2040),availability of Offshore Wind Power (2045),availability of Offshore Wind Power (2050),energy demand (2035),energy demand (2040),energy demand (2045),energy demand (2050),Exchange Rate (2035),Exchange Rate (2040),Exchange Rate (2045),Exchange Rate (2050),resistance to LT heating renovation (2035),resistance to LT heating renovation (2040),resistance to LT heating renovation (2045),resistance to LT heating renovation (2050),resistance to mobility change (2035),resistance to mobility change (2040),resistance to mobility change (2045),resistance to mobility change (2050),nuclear power no longer available,Total Photovoltaic Solar Power,Total Onshore Wind Power,Total Offshore Wind Power,total energy demand,transition_cost,fail
1.0,0.0,0.6,1.0,0.2,0.4,0.8,0.8,0.4,0.8,1.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.8,0.6,0.2,0.0,0.8,0.0,0.2,0.8,0.4,0.8,0.0,0.2,0.2,0.0,0.4,0.0,0.6,1.0,0.8,1.0,0.8,0.8,0.2,0.6,0.4,0.6,0.2,0.8,1.0,1.6,1.8,1.4,0.09000000000000001,1055285.439796771,0.0
0.4,0.6,0.0,0.4,0.8,1.0,0.2,0.2,1.0,0.2,0.4,0.6,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,0.2,0.0,0.8,0.6,0.2,0.6,0.8,0.2,1.0,0.2,0.6,0.8,0.8,0.6,1.0,0.6,0.0,0.4,0.2,0.4,0.2,0.2,0.8,0.0,1.0,0.0,0.8,0.2,0.5,1.6,1.8,2.6,0.44999999999999996,1150194.9554799967,0.0
0.2,0.2,1.0,0.6,0.4,0.8,0.2,0.2,0.0,1.0,0.8,0.4,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.4,0.2,0.0,1.0,0.8,0.8,0.2,0.6,0.8,0.2,0.4,0.2,0.6,0.8,0.8,0.2,1.0,0.6,1.0,0.2,0.2,0.2,0.2,0.8,0.2,0.8,0.8,0.2,0.0,1.6,2.4,1.6,0.36000000000000004,1129724.466017811,0.0
0.8,0.8,0.4,0.0,1.0,0.2,0.8,0.8,0.6,0.4,0.2,1.0,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,1.0,0.8,0.6,0.4,0.2,0.2,0.8,0.0,0.2,0.8,1.0,0.8,0.0,0.2,0.2,0.8,0.4,0.0,0.4,0.8,0.8,0.8,0.8,0.2,0.8,0.2,0.2,0.8,0.5,2.8,1.2000000000000002,2.8,0.18000000000000002,1007193.0017055282,0.0
0.6,0.4,0.2,0.8,0.8,0.6,1.0,0.0,0.2,0.2,0.6,0.8,1.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.8,0.4,0.8,0.8,0.4,1.0,0.0,0.2,0.0,0.6,0.2,1.0,0.8,0.4,0.6,0.4,0.2,0.8,0.2,0.6,1.0,0.0,1.0,1.0,0.6,0.4,0.4,0.4,0.25,2.8,1.6,1.8,0.33,1106120.635965112,0.0
0.0,1.0,0.8,0.2,0.2,0.0,0.4,0.6,0.8,0.8,0.0,0.2,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6666666666666666,0.2,1.0,0.2,0.2,1.0,0.4,0.6,0.8,0.6,0.0,0.8,0.4,0.2,1.0,0.0,1.0,0.8,0.2,0.8,0.0,0.4,0.6,0.4,0.4,0.0,1.0,1.0,1.0,1.0,1.6,2.8,1.7999999999999998,0.33,1121357.2290225066,0.0
0.0,0.4,1.0,0.4,0.2,0.4,0.6,1.0,0.8,0.4,0.4,1.0,1.0,0.0,1.0,0.6666666666666666,0.0,0.6666666666666666,0.4,0.4,0.4,1.0,0.0,0.4,0.4,0.6,0.8,0.6,0.4,1.0,1.0,1.0,0.0,0.4,1.0,0.4,0.8,0.4,0.6,0.4,0.4,0.4,0.6,0.8,1.0,0.4,0.5,2.2,1.4,2.8,0.36,1179084.9708583057,0.0
0.6,1.0,0.4,1.0,0.8,1.0,0.0,0.4,0.2,1.0,1.0,0.4,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.0,1.0,1.0,1.0,0.4,0.6,1.0,1.0,0.0,0.2,0.0,1.0,0.4,0.4,0.4,0.6,1.0,0.4,1.0,0.2,1.0,0.0,1.0,1.0,1.0,0.0,0.2,0.4,1.0,1.0,3.4,2.6,1.6,0.36,0.0,1.0
1.0,0.2,0.0,0.0,0.6,0.0,0.2,0.6,0.6,0.6,0.0,0.0,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,1.0,1.0,0.6,0.2,0.6,0.8,1.0,0.0,0.0,0.2,0.4,0.4,0.0,0.0,0.8,0.0,0.4,0.2,0.0,0.0,0.0,0.6,0.2,0.0,0.6,0.0,0.4,0.0,0.0,0.2,0.0,2.2,1.2,0.8,0.21,1004386.8928364132,0.0
0.4,0.8,0.6,0.6,0.0,0.6,0.8,0.0,0.0,0.0,0.6,0.6,0.0,0.3333333333333333,0.0,1.0,0.3333333333333333,0.3333333333333333,0.0,0.8,0.0,0.2,0.4,0.6,0.6,0.8,1.0,1.0,0.6,0.6,0.2,0.6,1.0,0.8,0.6,0.6,0.6,0.0,0.8,0.6,0.0,0.6,1.0,0.6,0.6,0.8,0.75,1.0,2.4000000000000004,3.2,0.39,1107834.4238772043,0.0
0.4,0.0,0.4,0.2,0.6,0.8,0.6,0.4,1.0,0.6,0.0,0.4,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,1.0,0.2,0.6,0.8,0.4,0.8,0.6,0.2,0.4,1.0,0.6,0.2,0.2,0.0,0.8,1.0,0.0,0.4,0.2,0.0,0.2,0.6,1.0,0.8,0.2,0.2,0.0,0.8,1.0,0.75,2.0,2.0,2.0,0.27,1089524.2834493946,0.0
1.0,0.6,1.0,0.8,0.0,0.2,0.0,1.0,0.4,0.0,0.6,1.0,0.3333333333333333,1.0,1.0,0.0,0.0,0.3333333333333333,0.8,0.0,0.2,1.0,0.2,0.0,0.8,1.0,0.4,0.0,0.8,0.8,0.6,0.2,0.4,0.6,1.0,0.8,0.6,0.8,0.0,0.4,0.2,0.8,0.8,0.6,0.2,0.4,0.25,2.0,2.0,2.0,0.2700000000000001,0.0,1.0
0.8,0.4,0.8,0.0,0.4,1.0,0.4,0.2,0.6,0.2,0.2,0.8,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,1.0,0.4,0.0,0.4,0.8,0.0,0.6,0.0,0.2,0.0,0.6,0.4,0.4,0.8,0.4,0.8,0.0,1.0,1.0,0.4,0.8,0.0,0.4,0.6,1.0,0.0,0.6,0.5,2.4,1.8000000000000005,0.8,0.3,1102160.080241236,0.0
0.2,1.0,0.2,0.6,1.0,0.4,1.0,0.8,0.0,0.8,0.8,0.2,0.0,0.0,0.6666666666666666,1.0,1.0,0.0,0.4,0.4,1.0,0.6,1.0,0.2,0.6,0.0,0.6,0.8,0.6,0.0,1.0,1.0,0.2,1.0,0.2,0.6,0.4,0.4,1.0,0.2,0.6,1.0,0.0,0.4,0.6,0.0,0.0,2.4,1.7999999999999998,2.0,0.48,1106329.8193188985,0.0
0.0,0.0,0.6,1.0,1.0,0.4,0.6,0.0,1.0,0.4,1.0,0.0,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,0.6666666666666666,0.2,0.6,0.6,0.6,0.0,0.2,0.0,1.0,0.0,1.0,0.2,0.4,0.6,0.0,0.0,0.0,0.6,1.0,1.0,0.4,0.6,0.6,1.0,0.6,0.0,0.6,0.4,1.0,1.0,2.0,1.2,1.6,0.09,0.0,1.0
0.6,0.6,0.0,0.4,0.4,1.0,0.0,0.6,0.4,1.0,0.4,0.6,1.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.8,0.0,0.0,0.0,0.6,0.8,0.6,0.4,0.6,0.4,0.8,1.0,0.0,0.6,0.6,0.6,0.0,0.4,0.4,1.0,0.0,0.0,0.4,0.0,0.6,0.0,1.0,0.4,0.25,0.8,2.4,2.8,0.26999999999999996,1031061.3727740308,0.0
1.0,0.4,0.2,0.6,0.0,0.0,0.4,0.4,0.8,0.8,0.6,0.8,0.0,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,0.6,1.0,0.4,1.0,0.8,0.4,0.4,0.2,0.8,0.0,0.4,0.8,0.8,0.8,0.4,0.4,0.2,0.6,0.0,0.6,0.4,1.0,0.2,0.8,1.0,0.4,0.8,0.6,0.5,3.0,1.8,2.0,0.36,1118227.3843154197,0.0
0.4,1.0,0.8,0.0,0.6,0.6,1.0,1.0,0.2,0.2,0.0,0.2,0.6666666666666666,1.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.4,1.0,0.4,0.2,1.0,1.0,0.8,0.2,0.6,1.0,0.2,0.2,0.2,1.0,1.0,0.8,0.0,0.6,0.0,1.0,0.4,0.8,0.2,0.4,1.0,0.2,0.0,0.0,1.7999999999999998,3.0,2.0,0.36,1049109.0183924062,0.0
0.2,0.2,0.0,1.0,0.2,0.6,0.8,0.6,1.0,0.6,0.8,0.6,0.3333333333333333,1.0,0.3333333333333333,0.0,0.6666666666666666,1.0,0.0,0.2,0.2,0.0,0.6,1.0,0.2,0.0,0.4,1.0,0.0,1.0,0.4,0.4,0.8,0.2,0.0,1.0,0.2,0.0,0.8,0.0,0.4,1.0,1.0,0.4,0.4,0.2,0.5,0.4,1.8,2.4,0.27,0.0,1.0
0.8,0.8,0.6,0.4,0.8,0.0,0.2,0.0,0.4,0.0,0.2,0.0,1.0,0.3333333333333333,1.0,0.6666666666666666,0.0,0.3333333333333333,0.6,0.8,0.8,0.6,0.0,0.4,0.8,0.6,1.0,0.4,0.6,0.4,1.0,1.0,0.2,0.8,0.6,0.4,0.8,0.6,0.2,0.6,1.0,0.4,0.4,1.0,1.0,0.8,1.0,2.8000000000000003,1.8000000000000005,2.4,0.44999999999999996,1197611.0309764876,0.0
0.6,0.0,1.0,0.8,1.0,0.8,0.4,0.8,0.6,0.4,1.0,0.4,0.0,0.0,0.0,1.0,0.3333333333333333,0.6666666666666666,1.0,0.0,0.6,0.2,0.4,0.6,0.4,1.0,0.6,0.2,0.4,0.0,0.0,0.6,0.6,0.0,1.0,0.8,1.0,0.8,0.4,0.2,0.6,0.6,0.2,0.8,0.6,0.0,0.25,1.8,2.4,1.2000000000000002,0.18,1049596.8026856997,0.0
0.0,0.6,0.4,0.2,0.4,0.2,1.0,0.2,0.0,1.0,0.4,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.0,0.4,0.6,0.0,0.8,1.0,0.0,1.0,0.4,0.0,0.8,1.0,0.6,0.6,0.0,0.0,0.6,0.4,0.2,0.4,0.2,1.0,0.8,0.0,0.0,0.8,0.2,0.0,0.6,0.75,1.8,2.4,2.4,0.18,1068525.9806307866,0.0
0.0,0.2,0.6,0.6,0.8,0.6,0.2,0.8,0.6,0.0,0.2,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,1.0,0.0,1.0,0.4,1.0,0.6,0.8,0.2,0.6,0.2,0.4,0.6,0.6,1.0,0.6,1.0,0.6,0.8,0.0,0.0,0.2,0.0,0.8,0.8,1.0,1.0,1.0,0.8,1.0,0.8,0.0,3.0,1.8,2.6,0.44999999999999996,1072894.7957224457,0.0
0.6,0.8,0.0,0.0,0.2,0.0,0.8,0.2,0.0,0.6,0.8,0.6,1.0,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,0.4,1.0,0.4,0.0,0.2,0.8,0.0,0.8,1.0,0.0,0.0,0.4,0.0,0.4,0.0,0.2,0.6,0.6,0.8,0.6,0.2,0.2,0.4,0.4,0.4,0.2,0.4,0.2,0.75,1.7999999999999998,1.8,1.4,0.09000000000000001,1037250.2530305294,0.0
0.8,0.0,0.4,0.8,0.4,1.0,0.6,1.0,0.8,0.8,0.4,1.0,0.0,1.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.2,0.2,0.0,0.8,0.0,0.0,0.8,0.6,0.8,0.2,1.0,0.2,0.8,0.2,0.8,0.6,1.0,0.2,1.0,1.0,0.0,1.0,0.0,0.8,0.2,0.0,0.0,0.6,0.25,1.2000000000000002,1.4,2.2,0.36,0.0,1.0
0.2,0.6,1.0,0.2,1.0,0.4,0.0,0.4,0.2,0.2,1.0,0.4,0.6666666666666666,0.3333333333333333,1.0,0.0,0.6666666666666666,1.0,0.8,0.8,0.6,0.2,0.6,0.6,0.2,0.0,0.2,0.8,0.4,0.8,0.2,0.8,0.2,0.0,0.4,0.8,0.4,0.4,0.6,0.4,0.6,0.2,0.8,0.6,0.6,0.0,1.0,2.4000000000000004,1.4,2.2,0.18,1075489.5886230497,0.0
0.4,0.0,0.2,0.8,0.2,0.2,0.4,0.0,0.8,1.0,0.2,0.6,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6,0.6,0.0,0.2,0.4,0.6,0.8,0.8,0.0,0.8,0.6,0.4,0.4,0.6,0.4,0.6,0.8,0.2,0.8,0.2,1.0,0.0,0.2,0.6,0.0,0.0,1.0,0.4,0.75,1.4,2.6,1.7999999999999998,0.3,1091008.913989244,0.0
1.0,0.6,0.8,0.2,0.8,0.8,1.0,0.6,0.2,0.4,0.8,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.6,0.8,1.0,0.0,0.2,0.2,0.6,0.2,0.0,1.0,1.0,0.0,1.0,0.0,0.2,0.8,0.2,0.8,0.4,0.6,0.8,0.0,0.6,0.6,0.4,1.0,0.25,1.4,1.4,1.8,0.3,1140040.5608507835,0.0
0.8,0.4,1.0,1.0,0.6,0.0,0.6,0.2,1.0,0.2,0.0,0.2,0.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.0,0.2,0.8,0.8,0.4,0.8,1.0,1.0,0.4,1.0,0.4,0.8,0.6,0.2,0.2,0.2,1.0,0.4,0.4,0.0,0.6,0.0,0.2,0.6,0.8,1.0,1.0,0.2,0.0,1.0,2.2,3.2,2.8000000000000003,0.24,0.0,1.0
0.2,1.0,0.4,0.4,0.0,0.6,0.0,0.8,0.4,0.8,0.6,0.8,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.8,0.2,0.2,1.0,0.2,0.4,0.4,1.0,0.4,1.0,0.2,0.0,0.8,0.8,0.8,0.4,1.0,1.0,0.6,0.0,0.6,0.8,0.0,0.2,0.4,0.4,0.8,0.6,0.5,2.2,2.0,1.6,0.42000000000000004,1166325.4030279987,0.0
0.2,0.0,0.8,0.0,0.0,0.6,0.2,0.4,0.6,0.0,0.6,1.0,1.0,0.6666666666666666,0.0,1.0,1.0,0.0,1.0,0.6,0.0,1.0,0.8,0.0,1.0,0.0,0.8,1.0,1.0,0.4,1.0,0.2,0.8,0.6,0.2,0.6,0.0,0.0,0.8,0.4,0.4,0.0,0.2,0.6,0.2,0.2,0.75,2.6,1.8,3.2,0.39,1167629.7003264115,0.0
0.8,0.6,0.2,0.6,0.6,0.0,0.8,1.0,0.0,0.6,0.0,0.4,0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.4,0.0,0.6,0.4,0.2,0.6,0.4,0.6,0.2,0.4,0.4,1.0,0.4,0.8,0.2,0.0,0.8,0.0,0.6,0.6,0.2,1.0,1.0,0.6,0.8,0.0,0.8,0.8,0.0,1.4,1.8000000000000005,2.0,0.21,1048489.6274617158,0.0
1.0,0.2,0.0,0.4,1.0,0.8,0.6,0.0,1.0,1.0,0.8,0.2,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,1.0,0.8,0.6,0.0,0.2,0.8,1.0,0.0,0.2,0.8,0.8,0.8,1.0,1.0,0.8,0.6,1.0,1.0,0.8,0.0,0.0,0.8,0.4,0.6,0.2,0.6,0.0,1.0,2.4,2.0,1.8,0.54,1181607.3323668323,0.0
0.4,0.8,0.6,1.0,0.4,0.2,0.0,0.6,0.4,0.4,0.2,0.8,0.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6,0.4,0.2,0.0,0.6,0.8,0.2,0.4,0.6,0.8,0.2,0.2,0.2,0.4,0.4,0.2,0.0,0.4,0.4,0.2,0.6,0.6,0.2,1.0,0.0,0.8,0.0,0.6,0.5,1.2,2.0,1.7999999999999998,0.18,0.0,1.0
0.4,0.4,0.4,0.0,0.8,0.4,0.4,1.0,0.6,1.0,1.0,0.2,1.0,1.0,0.6666666666666666,1.0,0.3333333333333333,0.3333333333333333,0.6,0.2,1.0,0.4,0.4,1.0,1.0,0.8,0.8,1.0,0.8,0.8,0.0,0.4,0.4,1.0,1.0,0.6,0.8,0.4,1.0,1.0,0.8,0.2,0.8,0.4,0.4,1.0,0.0,2.2,3.2,3.4000000000000004,0.27,1061329.5720634602,0.0
1.0,1.0,1.0,0.6,0.2,1.0,1.0,0.4,0.0,0.4,0.4,0.8,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,1.0,1.0,0.0,0.8,0.4,1.0,1.0,0.4,0.4,0.2,0.2,0.4,0.2,0.2,0.6,1.0,1.0,0.4,0.4,0.0,0.2,1.0,0.4,0.4,0.2,0.8,0.2,1.0,1.0,0.4,0.5,2.2,2.0,1.0,0.44999999999999996,1130415.274510335,0.0
0.6,0.2,0.8,0.2,0.0,0.2,0.8,0.8,0.8,0.2,0.6,0.6,0.6666666666666666,0.0,1.0,0.0,0.6666666666666666,0.0,0.2,0.0,0.2,0.2,0.6,0.8,0.6,0.0,0.4,0.0,0.6,0.0,0.4,0.6,0.0,0.8,0.2,0.8,0.0,0.8,0.2,0.8,0.0,0.0,0.4,0.8,0.8,0.8,0.25,0.6000000000000001,2.0,1.0,0.27,1049176.7607491007,0.0
0.0,0.8,0.2,0.8,0.6,0.8,0.2,0.2,0.2,0.8,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.8,0.6,0.8,0.8,0.0,0.2,0.0,0.6,1.0,0.6,0.0,0.6,1.0,0.0,0.6,0.2,0.8,0.2,0.6,0.2,0.8,0.2,0.6,0.6,1.0,0.2,0.2,0.2,0.75,3.0,0.8,2.2,0.27,0.0,1.0
0.0,0.2,0.2,1.0,1.0,1.0,0.8,0.4,0.4,0.4,0.4,1.0,0.6666666666666666,0.0,1.0,1.0,1.0,0.6666666666666666,0.8,0.0,0.8,0.4,0.8,0.2,1.0,1.0,0.8,0.0,0.8,0.0,0.4,0.2,0.6,0.8,0.8,0.4,1.0,0.4,0.2,1.0,0.6,0.8,0.2,0.0,0.2,0.8,0.5,2.0,3.0,1.6,0.3,1091633.0477130334,0.0
0.6,0.8,0.8,0.4,0.4,0.4,0.2,1.0,1.0,1.0,1.0,0.4,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.2,0.6,0.2,1.0,0.2,0.8,0.4,0.4,0.2,0.6,0.2,0.6,1.0,0.8,0.0,0.2,0.2,1.0,0.4,1.0,0.8,0.4,0.0,0.2,0.8,0.6,0.8,0.2,1.0,2.0,1.7999999999999998,1.6,0.3,1168201.7219944284,0.0
0.8,0.4,0.6,0.8,0.2,0.8,0.0,0.2,0.0,0.6,0.0,0.2,1.0,1.0,0.6666666666666666,0.0,0.0,1.0,0.4,0.2,0.4,0.2,0.0,0.4,0.6,0.0,0.0,1.0,0.6,0.8,0.2,1.0,0.8,1.0,0.0,0.2,0.2,0.8,0.6,0.8,0.2,1.0,0.6,0.8,1.0,1.0,0.25,1.2,1.0,2.4000000000000004,0.44999999999999996,0.0,1.0
0.2,1.0,0.0,0.2,0.8,0.2,0.6,0.8,0.6,0.0,0.6,0.8,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.8,1.0,0.8,0.6,1.0,0.0,0.6,0.6,0.4,0.0,0.2,0.8,0.4,0.2,0.4,0.6,0.8,0.8,0.2,0.0,0.2,0.8,0.4,0.0,0.2,0.4,0.4,0.75,3.6,2.2,1.2,0.2700000000000001,1099961.349764329,0.0
0.4,0.4,1.0,1.0,0.0,0.0,1.0,0.8,0.4,0.6,0.2,0.4,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.0,0.8,1.0,0.4,0.8,0.4,0.8,0.8,0.2,0.6,0.0,1.0,0.8,0.6,0.2,0.4,1.0,0.4,0.4,0.0,0.0,0.4,0.2,0.2,0.8,0.8,1.0,0.0,0.0,1.0,3.0,2.2,2.4000000000000004,0.33,1103453.674802838,0.0
1.0,1.0,0.4,0.4,0.6,0.6,0.4,0.2,1.0,0.0,0.8,1.0,0.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.2,0.4,1.0,0.2,1.0,0.2,0.2,0.8,0.0,0.6,0.4,0.2,0.0,0.8,1.0,0.4,1.0,1.0,0.6,0.6,1.0,0.8,0.8,0.2,0.2,0.4,0.6,0.6,0.25,1.8,2.2,1.2,0.33,1109632.4312925315,0.0
